PD_Name,Extremely satisfactory,Extremely unsatisfactory,Neutral (neither satisfactory nor dissatisfactory,Satisfactory,Unsatisfactory,total,perc_satis
PD1,11,0,7,35,0,53,87
PD2,9,0,4,42,0,55,93
PD3,11,0,3,37,0,51,94
PD4,0,0,3,46,2,51,90
PD5,6,0,4,39,1,50,90
PD6,1,0,8,39,3,51,78
PD7,1,0,3,43,4,51,86
PD8,8,0,4,40,0,52,92
PD9,6,0,1,43,0,50,98
PD10,5,0,6,42,1,54,87
PD11,11,0,8,34,0,53,85
PD12,5,0,0,44,0,49,100
PD13,4,0,3,44,1,52,92
PD15,11,0,4,37,2,54,89
PD16,12,1,2,35,1,51,92
PD17,0,0,2,47,1,50,94
PD18,1,0,0,52,0,53,100
PD19,15,0,7,29,0,51,86
PD21,7,0,0,43,0,50,100
