gorup_50_group1_dstrn,ADM2_PCODE,Do not trust,Neutral,Strongly distrust,Strongly trust,Trust,total,perc_trust,PD_Name
1,AF0101,108,72,26,8,79,293,30,PD1
2,AF0102,29,120,2,12,165,328,54,PD2
3,AF0103,25,130,11,38,140,344,52,PD3
4,AF0104,50,72,12,47,135,316,58,PD4
5,AF0105,25,113,12,10,94,254,41,PD5
6,AF0106,53,84,6,6,105,254,44,PD6
7,AF0107,32,64,0,17,181,294,67,PD7
8,AF0108,66,94,15,17,121,313,44,PD8
9,AF0109,23,74,6,16,171,290,64,PD9
10,AF0110,39,62,7,40,157,305,65,PD10
11,AF0111,32,69,2,11,192,306,66,PD11
12,AF0112,34,81,6,65,213,399,70,PD12
13,AF0113,58,113,5,19,113,308,43,PD13
15,AF0115,49,60,5,17,142,273,58,PD15
16,AF0116,15,18,0,50,230,313,89,PD16
17,AF0117,24,74,2,26,166,292,66,PD17
18,AF0118,25,98,10,24,153,310,57,PD18
19,AF0119,15,47,3,33,204,302,78,PD19
21,AF0121,19,52,3,48,208,330,78,PD21
